study	DOI	QTL.type	cell_type_name	cell_state	study_abbr
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD8+ Effector Memory T	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD4+ Central Memory T	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD8+ T Cell	S100B+	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Dendritic Cell (DC)	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Memory B Cell	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Naive B Cell	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Natural Killer Recruiting Cell (NK R)	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	CD16+ Monocyte (CD16 Mono)	-	YAZAR-2022-Science
YAZAR2022Sci	10.1126/science.abf3041	Cell-type-specific eQTL	Plasmablast	-	YAZAR-2022-Science
cuomo2020NC	10.1038/s41467-020-14457-z	Dynamic eQTL	Induced Pluripotent Stem Cells (iPSC)	Response With Pseudotime	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Dynamic eQTL	Mesendoderm (mesendo)	Response With Pseudotime	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Dynamic eQTL	Definitive Endoderm (defendo)	Response With Pseudotime	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Cell-type-specific eQTL	Induced Pluripotent Stem Cells (iPSC)	-	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Cell-type-specific eQTL	Mesendoderm (mesendo)	-	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Cell-type-specific eQTL	Definitive Endoderm (defendo)	-	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Response eQTL	Induced Pluripotent Stem Cells (iPSC)	-	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Response eQTL	Mesendoderm (mesendo)	G2/M	cuomo-2020-Nat. Commun
cuomo2020NC	10.1038/s41467-020-14457-z	Response eQTL	Definitive Endoderm (defendo)	G2/M	cuomo-2020-Nat. Commun
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	B Cell	-	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	Classical Monocyte	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	Dendritic Cell (DC)	-	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	-	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	Non-classical Monocyte	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	CD4+ T Cell	-	vanderwijst-2018-Nat. Genet
vanderwijst2018NG	10.1038/s41588-018-0089-9	Cell-type-specific eQTL	CD8+ T Cell	-	vanderwijst-2018-Nat. Genet
Resztak2022biorxiv	10.1101/2022.12.06.517536	Cell-type-specific eQTL	B Cell	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	B Cell	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	B Cell	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	B Cell	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	B Cell	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	B Cell	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	B Cell	Lipopolysaccharide	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	B Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	B Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	B Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	B Cell	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	B Cell	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	B Cell	Phytohemagglutinin	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Cell-type-specific eQTL	Monocyte (Mono)	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Monocyte (Mono)	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Monocyte (Mono)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Monocyte (Mono)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Monocyte (Mono)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Monocyte (Mono)	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Monocyte (Mono)	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Monocyte (Mono)	Lipopolysaccharide	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Monocyte (Mono)	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Monocyte (Mono)	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Monocyte (Mono)	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Monocyte (Mono)	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Natural Killer Cell (NK)	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Natural Killer Cell (NK)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Natural Killer Cell (NK)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Natural Killer Cell (NK)	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Natural Killer Cell (NK)	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Natural Killer Cell (NK)	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Natural Killer Cell (NK)	Lipopolysaccharide	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Natural Killer Cell (NK)	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Natural Killer Cell (NK)	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Natural Killer Cell (NK)	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	Natural Killer Cell (NK)	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	Natural Killer Cell (NK)	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	Natural Killer Cell (NK)	Phytohemagglutinin	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Cell-type-specific eQTL	T Cell	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	T Cell	-	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	T Cell	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	T Cell	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	T Cell	Lipopolysaccharide - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	T Cell	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	T Cell	Lipopolysaccharide - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	T Cell	Lipopolysaccharide	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	T Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	T Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	T Cell	Phytohemagglutinin - Dexamethasone	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Response eQTL	T Cell	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Variance eQTL	T Cell	Phytohemagglutinin - Ethanol	Resztak-2022-bioRxiv
Resztak2022biorxiv	10.1101/2022.12.06.517536	Dynamic eQTL	T Cell	Phytohemagglutinin	Resztak-2022-bioRxiv
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Naive B Cell	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ Naive T	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ Naive T	TCR-STIM	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD8+ Naive T	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD8+ Naive T	TCR-STIM	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Monocyte (Mono)	Non-classical	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Monocyte (Mono)	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ T Cell	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ T Cell	Classical T-helper 1	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ T Cell	Classical T-helper 17	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ T Cell	Classical T-helper 2	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	CD4+ T Cell	Classical T-helper 1 / T-helper 17	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Memory Regulatory T	-	Schmiedel-2022-Sci. Immunol
Schmiedel2022SI	10.1126/sciimmunol.abm2508	Cell-type-specific eQTL	Naive Regulatory T	-	Schmiedel-2022-Sci. Immunol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	CD14+ Monocyte (CD14 Mono)	Type 1 Interferon Activation	Kang-2017-Nat. Biotechnol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	CD16+ Monocyte (CD16 Mono)	Type 1 Interferon Activation	Kang-2017-Nat. Biotechnol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	CD4+ T Cell	-	Kang-2017-Nat. Biotechnol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	CD8+ T Cell	-	Kang-2017-Nat. Biotechnol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	Dendritic Cell (DC)	-	Kang-2017-Nat. Biotechnol
Kang2017NBT	10.1038/nbt.4042	Cell-type-specific eQTL	Natural Killer Cell (NK)	-	Kang-2017-Nat. Biotechnol
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	B Cell	Influenza	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	B Cell	Mock Treatment	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	CD4+ T Cell	Influenza	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	CD4+ T Cell	Mock Treatment	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	CD8+ T Cell	Influenza	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	CD8+ T Cell	Mock Treatment	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	Monocyte (Mono)	Influenza	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	Monocyte (Mono)	Mock Treatment	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	Natural Killer Cell (NK)	Influenza	Randolph-2021-Science
Randolph2021Science	10.1126/science.abg0928	Cell-type-specific eQTL	Natural Killer Cell (NK)	Mock Treatment	Randolph-2021-Science
wills2013NBT	10.1038/nbt.2642	Response eQTL	B Cell	Perturbed For 24 H With 10 ΜM SB216763	wills-2013-Nat. Biotechnol
wills2013NBT	10.1038/nbt.2642	Cell-type-specific eQTL	B Cell	-	wills-2013-Nat. Biotechnol
